tmc,rid,RTE_NAME_ID,from_meas,to_meas,rte_name,seg_begin,seg_end,NORMALIZEDSTART
129-05609,137,Route 140 Eastbound,12658.74643,13393.55324,MA-140,Hartford Ave,Bates St,
129-05610,137,Route 140 Eastbound,10649.07167,12658.74643,MA-140,Plain St,Hartford Ave,
129+05610,138,Route 140 Westbound,29079.04273,29813.84954,MA-140,Bates St,Hartford Ave,
129+06326,138,Route 140 Westbound,29813.84954,31811.93505,MA-140,Hartford Ave,Plain St,
129+05680,157,Route 27 Northbound,0,875.9876606,MA-27,MA-24/Amvets Memorial Hwy,N Pearl St,
129-05679,158,Route 27 Southbound,76619.77918,77594.9936,MA-27,N Pearl St,MA-24/Amvets Memorial Hwy,
129+08801,173,Route 38 Northbound,24148.00729,25480.55851,MA-38,South St,Shawsheen St,
129+08804,173,Route 38 Northbound,32754.96672,35611.50765,MA-38,I-495,MA-110/MA-133/Andover St,
129+08802,173,Route 38 Northbound,25480.55851,29146.70406,MA-38,Shawsheen St,East St/Pleasant St,
129+08803,173,Route 38 Northbound,29146.70406,32754.96672,MA-38,East St/Pleasant St,I-495,
129-08802,174,Route 38 Southbound,0,3817.83625,MA-38,I-495,East St/Pleasant St,
129-08801,174,Route 38 Southbound,3817.83625,7470.192438,MA-38,East St/Pleasant St,Shawsheen St,
129-08800,174,Route 38 Southbound,7470.192438,8802.953413,MA-38,Shawsheen St,South St,
